Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
323,26/02/2021,24.08.2020-23.02.2021,19,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,77223,1,10209,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","1017,13","61,33","582,97","0,00","-628,99","0,00","1091,00","0,00","0,00","58,56","0,00",87432,,,,,,,,,,2021,2,,,,,,
55,01/03/2022,23.08.2021-21.02.2022,1,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,37723,1,0,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","3,66","-35,39","7,91","0,00","0,00","0,00","-625,00","-0,07","0,00","-601,11","0,00",37723,,,,,,,,,,2022,3,,,,,,
217,21/04/2022,22.02.2022-19.04.2022,9,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,74755,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","213,85","16,27","57,27","0,00","0,00","0,00","288,00","0,00","0,00","0,61","0,00",,,,,,,,,,,2022,4,,,,,,
223,12/06/2021,03.04.2021-02.06.2021,11,Γ21,ΕΝΑΝΤΙ,Ημέρα,98668,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","404,13","36,07","197,04","0,00","0,00","0,00","638,00","0,00","0,00","0,76","0,00",,,,,,,,,,,2021,6,,,,,,
256,11/08/2022,10.06.2022-10.08.2022,12,Γ21,ΕΝΑΝΤΙ,Ημέρα,10980,1,0,"0,000",25,1,"1,0000","0,00","0,00","0,00","0,000","103,09","8,44","37,59","0,00","0,00","0,00","149,00","0,00","0,00","-0,12","0,00",,,,,,,,,,,2022,8,,,,,,
250,24/10/2022,31.08.2022-20.10.2022,18,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,16072,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","216,24","17,07","68,33","0,00","0,00","0,00","301,00","0,00","0,00","-0,64","0,00",,,,,,,,,,,2022,10,,,,,,
47,19/01/2022,02.12.2021-02.01.2022,1,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,12269,1,3386,"15,8",55,55,"1,0000","0,00",15,"0,00","29,8","964,75","70,23","217,08","0,00","0,00","0,00","1247,00","-28,25","0,00","23,19","0,00",15655,,,,,,,,,,2022,1,,,,,,
165,22/04/2021,24.02.2021-20.04.2021,12,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,71277,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","672,68","61,67","372,21","0,00","0,00","0,00","1090,00","-16,98","0,00","0,42","0,00",,,,,,,,,,,2021,4,,,,,,
397,23/06/2022,20.04.2022-21.06.2022,27,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,44676,1,0,"0,000",25,25,"1,0000","0,00","0,00","0,00","0,000","593,33","50,28","244,81","0,00","0,00","0,00","888,00","0,00","0,00","-0,42","0,00",,,,,,,,,,,2022,6,,,,,,
465,02/02/2022,01.01.2022-31.01.2022,21,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,3250,40,2120,"33,1",85,65,"0,9984","0,00",16,"0,00","17,8","684,31","50,77","155,02","0,00","0,00","3,06","904,00","-3,84","0,00","14,68","0,00",3303,Αεργος,528,525,40,120,,,,,2022,2,,,,,,
363,07/12/2021,01.11.2021-26.11.2021,14,Γ22,ΕΝΑΝΤΙ,Ημέρα,1175,40,0,"6,9",85,79,"0,7809","0,00",4,"0,00","8,0","29,33","4,11","39,72","0,00","0,00","0,00","73,00","-0,54","0,00","0,38","0,00",,Αεργος,,1413,40,0,,,,,2021,12,,,,,,
